,index,Latitude,City,Country,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
280,280,12.18,san policarpo,ph,125.51,78.78,87.0,5.0,10.18,1579897385
281,281,-7.75,gondanglegi,id,112.01,74.53,92.0,10.0,0.85,1579897386
282,282,23.99,constitucion,mx,-104.67,63.0,23.0,75.0,5.82,1579896816
283,283,71.69,tiksi,ru,128.87,-32.46,88.0,0.0,5.86,1579897386
284,284,32.38,saint george,bm,-64.68,70.0,83.0,75.0,17.22,1579897386
285,285,-45.42,te anau,nz,167.72,58.44,98.0,100.0,1.19,1579897362
286,286,-22.09,tocopilla,cl,-70.2,66.76,78.0,69.0,11.03,1579897386
287,287,47.91,ulaanbaatar,mn,106.88,-18.4,68.0,0.0,2.24,1579897305
288,288,5.89,sabang,id,95.32,82.54,74.0,0.0,17.56,1579897386
289,289,27.59,kambar,pk,68.0,61.36,48.0,0.0,0.43,1579897386
290,290,39.82,dongsheng,cn,109.98,14.63,67.0,0.0,4.43,1579897386
291,291,61.12,kuznechnoye,ru,29.87,30.0,87.0,5.0,9.26,1579897387
292,292,78.22,longyearbyen,sj,15.64,6.8,55.0,20.0,27.51,1579897387
293,293,56.85,yantal,ru,105.25,16.83,92.0,100.0,9.98,1579897387
294,294,-20.52,souillac,mu,57.52,80.6,94.0,75.0,12.75,1579897117
295,295,-12.58,benguela,ao,13.41,78.8,83.0,40.0,4.7,1579897387
296,296,68.22,aklavik,ca,-135.01,-4.0,83.0,90.0,9.17,1579897387
297,297,-41.87,ancud,cl,-73.82,64.4,59.0,75.0,16.11,1579897387
298,298,32.67,ponta do sol,pt,-17.1,59.0,62.0,40.0,4.7,1579897387
299,299,59.33,karlskoga,se,14.52,39.2,80.0,3.0,11.41,1579897387
300,300,63.05,beringovskiy,ru,179.32,2.44,97.0,100.0,9.44,1579897388
301,301,-20.58,nosy varika,mg,48.53,72.84,93.0,97.0,7.09,1579897463
302,302,5.97,weligama,lk,80.42,73.13,86.0,1.0,7.87,1579897363
303,303,58.41,kosino,ru,51.28,11.5,95.0,100.0,6.71,1579897463
304,304,-13.7,pisco,pe,-76.22,71.6,30.0,75.0,10.29,1579897463
305,305,22.9,bahia honda,cu,-83.16,74.1,58.0,64.0,8.61,1579897463
306,306,5.79,anloga,gh,0.9,84.2,66.0,0.0,4.7,1579897463
307,307,-8.71,praya,id,116.27,65.48,87.0,19.0,2.95,1579897463
308,308,-14.54,nacala,mz,40.67,72.55,95.0,3.0,5.73,1579897464
309,309,39.04,koson,uz,65.58,39.2,93.0,0.0,2.24,1579897464
310,310,61.99,paamiut,gl,-49.67,15.94,78.0,100.0,22.53,1579897464
311,311,52.44,sulecin,pl,15.12,33.01,75.0,100.0,8.05,1579897464
312,312,65.42,maniitsoq,gl,-52.9,11.8,77.0,100.0,11.23,1579897464
313,313,66.77,zhigansk,ru,123.37,-43.58,96.0,57.0,9.1,1579897464
314,314,42.16,palmer,us,-72.33,46.99,36.0,20.0,4.16,1579897464
315,315,40.77,mastic beach,us,-72.85,50.0,45.0,1.0,4.7,1579897464
316,316,47.67,torbay,ca,-52.73,28.99,68.0,75.0,12.75,1579897464
317,317,20.52,atar,mr,-13.05,74.79,17.0,100.0,6.91,1579897464
318,318,-19.61,dondo,mz,34.74,71.02,96.0,7.0,1.16,1579897465
319,319,33.08,camacha,pt,-16.33,60.8,63.0,40.0,16.11,1579897465
320,320,19.8,puri,in,85.85,66.2,77.0,40.0,4.07,1579897465
321,321,69.49,talnakh,ru,88.4,6.8,77.0,100.0,13.42,1579897465
322,322,20.86,teknaf,bd,92.31,51.94,56.0,20.0,2.8,1579897465
323,323,38.24,locri,it,16.26,59.0,71.0,40.0,9.17,1579897465
324,324,50.23,havre-saint-pierre,ca,-63.6,12.2,51.0,1.0,8.05,1579897465
325,325,61.56,krasnoborsk,ru,45.93,10.8,96.0,99.0,4.47,1579897465
326,326,-21.64,sao joao da barra,br,-41.05,77.0,94.0,90.0,13.96,1579897466
